#metadataBlock	name	dataverseAlias	displayName												
	jpl		JPL												
#datasetField	name	title	description	watermark	fieldType	displayOrder	displayFormat	advancedSearchField	allowControlledVocabulary	allowmultiples	facetable	displayoncreate	required	parent	metadatablock_id
0	USER	USER	The root class.		text	0		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE		jpl
1	Instrument_Type_List	Instrument Type List	The Type List class provides a list of values and their value meanings.		text	1		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE		jpl
2	Artifact_Type_List	Artifact Type List	The Type List class provides a list of values and their value meanings.		text	2		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE		jpl
3	Checksum_Type_List	Checksum Type List	The Type List class provides a list of values and their value meanings.		text	3		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE		jpl
4	Domain_Name_List	Domain Name List	The Name List class provides a list of values and their value meanings.		text	4		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE		jpl
5	Host_Name_List	Host Name List	The Name List class provides a list of values and their value meanings.		text	5		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE		jpl
6	JPL_Core_Metadata	JPL Core Metadata	The Type List class provides a list of values and their value meanings.		text	6		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE		jpl
7	MIME_Type_List	MIME Type List	The Type List class provides a list of values and their value meanings.		text	7		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE		jpl
8	Mission_Name_List	Mission Name List	The Name List class provides a list of values and their value meanings.		text	8		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE		jpl
9	ASCII_Short_String_Collapsed	ASCII Short String Collapsed	The ASCII_Short_String_Collapsed class indicates a limited length, whitespace-collapsed string.		text	9		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE		jpl
10	Access_Rights_Information	Access Rights Information	Access Rights Information: The information that identifies the access restrictions pertaining to the Content Information, including the legal framework, licensing terms, and access control. It contains the access and distribution conditions stated within the Submission Agreement, related to both preservation (by the OAIS) and final usage (by the Consumer). It also includes the specifications for the application of rights enforcement measures. /source: ISO_14721_2012 figure 4-16, figure 4-18		text	10		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE		jpl
11	Archival_Information_Package	Archival Information Package	Archival Information Package (AIP): An Information Package, consisting of the Content Information and the associated Preservation Description Information (PDI), which is preserved within an OAIS. /source: ISO_14721_2012 figure 2-4, figure 4-1, figure 4-14, figure 4-15, figure 4-17, figure 4-18		text	11		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE		jpl
12	Artifact	Artifact	An object made by a human being.		text	12		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE		jpl
13	Artifact_External_Reference	Artifact External Reference	The Artifact_External_Reference class provides a reference, for example a bibliographic entry, to an artifact external to the system.		text	13		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE		jpl
14	Artifact_Internal_Reference	Artifact Internal Reference	The Artifact_Internal_Reference class provides a link to an artifact existing within the system.		text	14		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE		jpl
15	Artifact_Type_Area	Artifact Type Area	The Artifact_Type_Area is used to provide classification information for an artifact.		text	15		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE		jpl
16	Artifact_Type_Information	Artifact Type Information	The Artifact_Type_Information is used to provide classification information for an artifact.		text	16		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE		jpl
17	Character_Data_Type	Character Data Type	The Character Data Type class is the parent class for data types used to classify the values of attributes in class descriptions, i.e., product labels and character digital objects.		text	17		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE		jpl
18	Checksum_Area	Checksum Area	The Checksum_Area is used to provide information about Checksums and other mechanism used to ensure the integrity of the data object.		text	18		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE		jpl
19	Conceptual_Object	Conceptual Object	The Conceptual Object class defines a non-tangible object that is also not a digital object.  /source: /pds		text	19		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE		jpl
20	Context_Information	Context Information	Context Information: The information that documents the relationships of the Content Information to its environment. This includes why the Content Information was created and how it relates to other Content Information objects. /source: ISO_14721_2012 figure 4-16, figure 4-18		text	20		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE		jpl
21	Data	Data	null		text	21		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE		jpl
22	Data_Object	Data Object	Data Object: Either a Physical Object or a Digital Object. /source:  ISO_14721_2012 figure 2-2, figure 4-10, figure 4-18		text	22		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE		jpl
23	Data_Type	Data Type	The Data Type class is the abstract parent class for several classes of data types. /source:		text	23		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE		jpl
24	Date_Time_Area	Date Time Area	The Date_Time_Area is used to provide date and time information.		text	24		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE		jpl
25	Digital_Object	Digital Object	Digital Object: An object composed of a set of bit sequences. /source:  ISO_14721_2012 figure 4-10, figure 4-18		text	25		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE		jpl
26	Digital_Object_Handle	Digital Object Handle	The Digital_Object_Handle class provides a Persistent Identifier for a digital object described by this label. The digital object must exist within the system.		text	26		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE		jpl
27	Dissemination_Information_Package	Dissemination Information Package	Dissemination Information Package (DIP): An Information Package, derived from one or more AIPs, and sent by Archives to the Consumer in response to a request to the OAIS. /source: ISO_14721_2012 figure 2-4, figure 4-1, figure 4-14		text	27		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE		jpl
28	Document	Document	null		text	28		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE		jpl
29	Domain	Domain	A realm or range of personal knowledge, responsibility, etc.		text	29		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE		jpl
30	Domain_Area	Domain Area	The Domain_Area is used to provide formation about a specified sphere of activity or knowledge.		text	30		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE		jpl
31	Entity	Entity	null		text	31		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE		jpl
32	Fixity_Information	Fixity Information	Fixity Information: The information which documents the mechanisms that ensure that the Content Information object has not been altered in an undocumented manner. An example is a Cyclical Redundancy Check (CRC) code for a file. /source: ISO_14721_2012 figure 4-16, figure 4-18		text	32		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE		jpl
33	Format	Format	The organization of information according to preset specifications.		text	33		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE		jpl
34	Format_Type_Area	Format Type Area	The Format_Type_Area is used to provide format information.		text	34		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE		jpl
35	Identification_Information	Identification Information	Identification Information: The information that is used to identify information objects. /source:/jsh		text	35		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE		jpl
36	Information_Architecture	Information Architecture	The Information_Architecture abstract class groups the information classes for the Data Archive Architecture.		text	36		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE		jpl
37	Information_Model	Information Model	Information Model: An information model is a representation of concepts, relationships, constraints, rules, and operations to specify data semantics for a chosen domain of discourse.  /source: /Lee, Y. T. 1999		text	37		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE		jpl
38	Information_Object	Information Object	Information Object: A Data Object together with its Representation Information. /source:  ISO_14721_2012 figure 2-2, figure 4-10, figure 4-12		text	38		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE		jpl
39	Information_Package	Information Package	Information Package: A logical container composed of optional Content Information and optional associated Preservation Description Information. Associated with this Information Package is Packaging Information used to delimit and identify the Content Information and Package Description information used to facilitate searches for the Content Information. /source: ISO_14721_2012 figure 4-13, figure 4-14		text	39		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE		jpl
40	Institutional_Task	Institutional Task	null		text	40		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE		jpl
41	Instrument	Instrument	The Instrument class provides a description of a physical object that collects data.		text	41		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE		jpl
42	Instrument_Host	Instrument Host	The Instrument Host class provides a description of the physical object upon which an instrument is mounted.		text	42		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE		jpl
43	Investigation	Investigation	A set of experiments and/or observations with a clearly defined purpose.		text	43		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE		jpl
44	Mission	Mission	null		text	44		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE		jpl
45	Name_Type_List_Area	Name Type List Area	The Name_Type_List_Area is used to insert a Name or Type list into the Common model.		text	45		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE		jpl
46	Native_Area	Native Area	The Native_Area provides for external information and plugin.		text	46		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE		jpl
47	Person	Person	null		text	47		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE		jpl
48	Physical_Object	Physical Object	Physical Object: An object (such as a moon rock, bio-specimen, microscope slide) with physically observable properties that represent information that is considered suitable for being adequately documented for preservation, distribution, and independent usage. /source:  ISO_14721_2012 figure 4-10, figure 4-18		text	48		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE		jpl
49	Preservation_Description_Information	Preservation Description Information	Preservation Description Information (PDI): The information which is necessary for adequate preservation of the Content Information and which can be categorized as Provenance, Reference, Fixity, Context, and Access Rights Information. /source: ISO_14721_2012 figure 2-3, figure 4-12, figure 4-13, figure 4-15, figure 4-18		text	49		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE		jpl
50	Project	Project	null		text	50		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE		jpl
51	Provenance_Information	Provenance Information	Provenance Information: The information that documents the history of the Content Information. This information tells the origin or source of the Content Information, any changes that may have taken place since it was originated, and who has had custody of it since it was originated. The Archive is responsible for creating and preserving Provenance Information from the point of Ingest; however, earlier Provenance Information should be provided by the Producer. Provenance Information adds to the evidence to support Authenticity. /source: ISO_14721_2012 figure 4-16, figure 4-18		text	51		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE		jpl
52	Reference_Information	Reference Information	Reference Information: The information that is used as an identifier for the Content Information. It also includes identifiers that allow outside systems to refer unambiguously to a particular Content Information. An example of Reference Information is an ISBN. /source: ISO_14721_2012 figure 4-16, figure 4-18		text	52		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE		jpl
53	Representation_Information	Representation Information	Representation Information: The information that maps a Data Object into more meaningful concepts. An example of Representation Information for a bit sequence which is a FITS file might consist of the FITS standard which defines the format plus a dictionary which defines the meaning in the file of keywords which are not part of the standard. Another example is JPEG software which is used to render a JPEG file; rendering the JPEG file as bits is not very meaningful to humans but the software, which embodies an understanding of the JPEG standard, maps the bits into pixels which can then be rendered as an image for human viewing. /source: ISO_14721_2012 figure 2-2, figure 4-10, figure 4-12, figure 4-18		text	53		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE		jpl
54	Research_Task	Research Task	null		text	54		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE		jpl
55	Science_Investigation_Area	Science Investigation Area	The Science_Investigation_Area is used to provide information about specific science missions, observing campaigns, and individual investigations that typically involve data collection using an instrument.		text	55		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE		jpl
56	Submission_Information_Package	Submission Information Package	Submission Information Package (SIP): An Information Package that is delivered by the Producer to the OAIS for use in the construction or update of one or more AIPs and/or the associated Descriptive Information. (Note: According to PAIS, a producer prepares a MOT. However an Information Package is also allowed if an AIP is to be derived directly from a SIP.) /source: ISO_14721_2012 figure 2-4, figure 4-1, figure 4-14		text	56		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE		jpl
57	Task	Task	null		text	57		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE		jpl
58	Technology_Task	Technology Task	null		text	58		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE		jpl
59	UTF8_Short_String_Collapsed	UTF8 Short String Collapsed	The UTF8_Short_String_Collapsed class indicates a limited length, whitespace-collapsed string constrained to the UTF-8 character encoding.		text	59		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE		jpl
60	Work_Activity	Work Activity	null		text	60		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE		jpl

#controlledVocabulary	DatasetField	Value	identifier	displayOrder											
	lineOrg	Office of the Director	1000	0											
	lineOrg	Business Operations	2000	1											
	lineOrg	Engineering and Science	3000	2											
	lineOrg	Planetary Science Directorate	4000	3											
	lineOrg	Office of Safety and Mission Success	5000	4											
	lineOrg	Astronomy and Physics	6000	5											
	lineorg	Earth Science and Technology	8000	6											
	lineOrg	Interplanetary Network	9000	7											
