#metadataBlock	dataverseAlias	displayName	name											
0		JPL Core Metadata	0001_NASA_PDS_1.eimtldjplcoremetadata.JPL_Core_Metadata											
#datasetField	name	title	description	fieldType	displayOrder	displayFormat	advancedSearchField	allowControlledVocabulary	allowmultiples	facetable	displayoncreate	required	parent	metadatablock_id
0	0001_NASA_PDS_1.eimtldjplcoremetadata.JPL_Core_Metadata.eimtldjplcoremetadata.creator	creator	An entity primarily responsible for making the resource. Facilitates discovery (search); allows content to be associated with JPLer.	text			TRUE	TRUE	FALSE	TRUE	TRUE	FALSE		0001_NASA_PDS_1.eimtldjplcoremetadata.JPL_Core_Metadata
1	0001_NASA_PDS_1.eimtldjplcoremetadata.JPL_Core_Metadata.eimtldjplcoremetadata.created	created	Date of creation of the resource. Vital for effective ERM and disposition.	text			TRUE	TRUE	FALSE	TRUE	TRUE	FALSE		0001_NASA_PDS_1.eimtldjplcoremetadata.JPL_Core_Metadata
2	0001_NASA_PDS_1.eimtldjplcoremetadata.JPL_Core_Metadata.eimtldjplcoremetadata.identifier	identifier	An unambiguous reference to the resource within a given context. Vital for effective ERM and disposition; facilitates “dashboard” use and reuse of content.	text			TRUE	TRUE	FALSE	TRUE	TRUE	FALSE		0001_NASA_PDS_1.eimtldjplcoremetadata.JPL_Core_Metadata
3	0001_NASA_PDS_1.eimtldjplcoremetadata.JPL_Core_Metadata.eimtldjplcoremetadata.title	title	A name given to the resource. Facilitates discovery (search).	text			TRUE	TRUE	FALSE	TRUE	TRUE	FALSE		0001_NASA_PDS_1.eimtldjplcoremetadata.JPL_Core_Metadata
4	0001_NASA_PDS_1.eimtldjplcoremetadata.JPL_Core_Metadata.eimtldjplcoremetadata.format	format	The file format, physical medium, or dimensions of the resource. Vital for effective ERM and disposition.	text			TRUE	TRUE	FALSE	TRUE	TRUE	FALSE		0001_NASA_PDS_1.eimtldjplcoremetadata.JPL_Core_Metadata
5	0001_NASA_PDS_1.eimtldjplcoremetadata.JPL_Core_Metadata.eimtldjplcoremetadata.type	type	The nature or genre of the resource. Facilitates discovery (search); vital for effective ERM and disposition; facilitates “dashboard” use and reuse of content.	text			TRUE	TRUE	FALSE	TRUE	TRUE	FALSE		0001_NASA_PDS_1.eimtldjplcoremetadata.JPL_Core_Metadata
6	0001_NASA_PDS_1.eimtldjplcoremetadata.JPL_Core_Metadata.eimtldjplcoremetadata.rights	rights	Information about rights held in and over the resource. Facilitates “dashboard” use and reuse of content.	text			TRUE	TRUE	FALSE	TRUE	TRUE	FALSE		0001_NASA_PDS_1.eimtldjplcoremetadata.JPL_Core_Metadata
7	0001_NASA_PDS_1.eimtldjplcoremetadata.JPL_Core_Metadata.eimtldjplcoremetadata.keywords	keywords	The topic of the resource per enterprise keywords.	text			TRUE	TRUE	FALSE	TRUE	TRUE	FALSE		0001_NASA_PDS_1.eimtldjplcoremetadata.JPL_Core_Metadata
#controlledVocabulary	0	1	2	3	4	5	6	7	8	9	10	11	12	13
0														
