#metadataBlock	dataverseAlias	displayName	name											
0		UTF8 Short String Collapsed	0001_NASA_PDS_1.oais.UTF8_Short_String_Collapsed											
#datasetField	name	title	description	fieldType	displayOrder	displayFormat	advancedSearchField	allowControlledVocabulary	allowmultiples	facetable	displayoncreate	required	parent	metadatablock_id
0	0001_NASA_PDS_1.oais.Character_Data_Type.oais.character_constraint	character_constraint	The character_constraint attribute limits the characters allowed.	text			TRUE	TRUE	FALSE	TRUE	TRUE	FALSE		0001_NASA_PDS_1.oais.UTF8_Short_String_Collapsed
1	0001_NASA_PDS_1.oais.Character_Data_Type.oais.character_encoding	character_encoding	The character_encoding attribute identifies the standard that maps a set of allowed characters to their machine readable code.	text			TRUE	TRUE	FALSE	TRUE	TRUE	FALSE		0001_NASA_PDS_1.oais.UTF8_Short_String_Collapsed
2	0001_NASA_PDS_1.oais.Character_Data_Type.oais.formation_rule	formation_rule	The formation_rule attribute provides a 'user friendly' instruction for forming values.	text			TRUE	TRUE	FALSE	TRUE	TRUE	FALSE		0001_NASA_PDS_1.oais.UTF8_Short_String_Collapsed
3	0001_NASA_PDS_1.oais.Character_Data_Type.oais.maximum_value	maximum_value	The maximum_value attribute provides the upper, inclusive bound on the value.	text			TRUE	TRUE	FALSE	TRUE	TRUE	FALSE		0001_NASA_PDS_1.oais.UTF8_Short_String_Collapsed
4	0001_NASA_PDS_1.oais.Character_Data_Type.oais.pattern	pattern	The pattern attribute provides a symbolic instruction for forming values.	text			TRUE	TRUE	FALSE	TRUE	TRUE	FALSE		0001_NASA_PDS_1.oais.UTF8_Short_String_Collapsed
5	0001_NASA_PDS_1.oais.UTF8_Short_String_Collapsed.oais.maximum_characters	maximum_characters	The maximum_characters attribute provides the upper, inclusive bound on the number of characters.	text			TRUE	TRUE	FALSE	TRUE	TRUE	FALSE		0001_NASA_PDS_1.oais.UTF8_Short_String_Collapsed
6	0001_NASA_PDS_1.oais.UTF8_Short_String_Collapsed.oais.minimum_characters	minimum_characters	The minimum_characters attribute provides the lower, inclusive bound on the number of characters.	text			TRUE	TRUE	FALSE	TRUE	TRUE	FALSE		0001_NASA_PDS_1.oais.UTF8_Short_String_Collapsed
7	0001_NASA_PDS_1.oais.UTF8_Short_String_Collapsed.oais.minimum_value	minimum_value	The minimum_value attribute provides the lower inclusive bound on the value.	text			TRUE	TRUE	FALSE	TRUE	TRUE	FALSE		0001_NASA_PDS_1.oais.UTF8_Short_String_Collapsed
8	0001_NASA_PDS_1.oais.UTF8_Short_String_Collapsed.oais.xml_schema_base_type	xml_schema_base_type	The xml schema base type attribute provides the data type needed for the XML schema implementation.	text			TRUE	TRUE	FALSE	TRUE	TRUE	FALSE		0001_NASA_PDS_1.oais.UTF8_Short_String_Collapsed
#controlledVocabulary	0	1	2	3	4	5	6	7	8	9	10	11	12	13
0														
